,State,6/27/2020,7/4/2020,7/11/2020,7/18/2020,7/25/2020,8/2/2020,8/9/2020,8/16/2020,8/23/2020
0,Washington,12706,27,22,18,14,12,9,7,6
1,Illinois,37904,25,19,15,12,9,7,5,4
2,California,90224,263,235,210,188,168,150,134,120
3,Arizona,29951,147,134,122,111,101,92,84,76
4,Massachusetts,20280,46,49,54,58,63,68,74,80
5,Wisconsin,14415,15,11,9,7,5,4,3,2
6,Texas,87921,80,61,47,36,27,21,16,12
7,Nebraska,4197,3,2,1,1,1,0,0,0
8,Utah,4747,45,45,44,43,42,42,41,40
9,Oregon,7505,109,108,107,106,105,104,103,102
10,Florida,74005,68,49,35,25,18,13,9,7
11,New York,68371,121,138,158,182,208,238,273,313
12,Rhode Island,3540,1,1,1,0,0,0,0,0
13,Georgia,37806,113,96,81,69,58,50,42,35
14,New Hampshire,2481,4,3,2,2,1,1,1,1
15,North Carolina,23405,17,12,9,7,5,3,2,2
16,New Jersey,33444,56,61,67,73,79,86,94,103
17,Colorado,12538,119,157,208,275,364,482,637,843
18,Maryland,14462,30,33,36,39,43,47,51,56
19,Nevada,10752,85,84,83,82,81,80,79,78
20,Tennessee,26177,30,23,18,14,11,9,7,5
21,Hawaii,1418,5,5,4,3,3,2,2,2
22,Indiana,23587,21,16,12,10,7,6,4,3
23,Kentucky,15568,122,116,110,104,99,93,89,84
24,Minnesota,12781,24,20,17,15,13,11,9,8
25,Oklahoma,15897,70,62,54,47,41,36,31,27
26,Pennsylvania,44679,63,54,46,39,34,29,25,21
27,South Carolina,17767,24,19,15,12,9,7,6,4
28,District of Columbia,1340,0,0,0,0,0,0,0,0
29,Kansas,8635,64,64,64,63,63,62,62,61
30,Missouri,20517,7,5,3,2,1,1,0,0
31,Vermont,639,10,14,20,28,39,54,76,106
32,Virginia,20237,145,156,169,183,197,213,230,248
33,Connecticut,10851,13,11,9,7,6,5,4,3
34,Iowa,9529,18,15,13,10,9,7,6,5
35,Louisiana,17262,21,17,13,11,9,7,5,4
36,Ohio,38659,13,10,8,6,4,3,2,2
37,Michigan,36002,57,47,40,33,27,23,19,16
38,South Dakota,2912,3,2,2,1,1,1,0,0
39,Arkansas,11394,17,13,10,8,6,4,3,2
40,Delaware,2919,8,7,6,5,5,4,3,3
41,Mississippi,12446,5,4,3,2,1,1,0,0
42,New Mexico,7516,44,41,38,35,32,30,27,25
43,North Dakota,2268,9,8,8,7,7,7,6,6
44,Wyoming,1812,6,6,5,5,4,4,4,4
45,Alaska,1252,9,9,8,8,8,7,7,7
46,Maine,2287,3,2,1,1,0,0,0,0
47,Alabama,19570,26,20,15,12,9,7,5,4
48,Idaho,4927,5,3,3,2,1,1,1,0
49,Montana,3373,6,6,5,5,4,4,4,3
50,Puerto Rico,4210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,6857,28,23,20,17,14,12,10,9
54,Northern Mariana Islands,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
